concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
36558063,From initial search,Malignant Spitz tumor of overlapping lesion of esophagus,Condition,ICDO3,standard,n,n
4201480,From initial search,Local recurrence of malignant tumor of esophagus,Condition,SNOMED,standard,n,y
36542915,From initial search,Malignant Spitz tumor of thoracic esophagus,Condition,ICDO3,standard,n,n
36544911,From initial search,Malignant Spitz tumor of lower third of esophagus,Condition,ICDO3,standard,n,n
36521559,From initial search,Malignant Spitz tumor of middle third of esophagus,Condition,ICDO3,standard,n,n
36523417,From initial search,Malignant Spitz tumor of upper third of esophagus,Condition,ICDO3,standard,n,n
36523838,From initial search,Malignant Spitz tumor of abdominal esophagus,Condition,ICDO3,standard,n,n
42512176,From initial search,"Glomus tumor, malignant of esophagus, NOS",Condition,ICDO3,standard,n,n
4116239,From initial search,"Malignant tumor of esophagus, stomach and duodenum",Condition,SNOMED,standard,n,n
36534811,From initial search,"Malignant Spitz tumor of esophagus, NOS",Condition,ICDO3,standard,n,n
36536508,From initial search,Malignant Spitz tumor of cervical esophagus,Condition,ICDO3,standard,n,n
36532054,From descendants,Malignant mastocytosis of cervical esophagus,Condition,ICDO3,standard,n,n
36540646,From descendants,Gastrointestinal stromal tumor of cervical esophagus,Condition,ICDO3,standard,n,n
36563610,From descendants,"Small cell carcinoma, fusiform cell of cervical esophagus",Condition,ICDO3,standard,n,n
36566291,From descendants,Malignant histiocytosis of cervical esophagus,Condition,ICDO3,standard,n,n
44499624,From descendants,"Small cell carcinoma, NOS, of cervical esophagus",Condition,ICDO3,standard,n,n
36526819,From descendants,Malignant mastocytosis of upper third of esophagus,Condition,ICDO3,standard,n,n
36534780,From descendants,Gastrointestinal stromal tumor of upper third of esophagus,Condition,ICDO3,standard,n,n
36556733,From descendants,Malignant histiocytosis of upper third of esophagus,Condition,ICDO3,standard,n,n
4089658,From descendants,Malignant neoplasm of cardio-esophageal junction of stomach,Condition,SNOMED,standard,n,n
4207131,From descendants,Siewert type II adenocarcinoma of esophagogastric junction,Condition,SNOMED,standard,n,n
4208017,From descendants,Siewert type I adenocarcinoma of esophagogastric junction,Condition,SNOMED,standard,n,n
4258546,From descendants,Siewert type III adenocarcinoma of esophagogastric junction,Condition,SNOMED,standard,n,n
36521395,From descendants,Gastrointestinal stromal tumor of abdominal esophagus,Condition,ICDO3,standard,n,n
36523502,From descendants,Malignant histiocytosis of abdominal esophagus,Condition,ICDO3,standard,n,n
36553041,From descendants,Malignant mastocytosis of abdominal esophagus,Condition,ICDO3,standard,n,n
36556142,From descendants,"Small cell carcinoma, NOS, of abdominal esophagus",Condition,ICDO3,standard,n,n
36716505,From descendants,Primary malignant neoplasm of esophagogastric junction,Condition,SNOMED,standard,n,n
36717176,From descendants,Primary adenocarcinoma of esophagogastric junction,Condition,SNOMED,standard,n,n
3170434,From descendants,Cancer of gastroesophageal junction,Condition,Nebraska Lexicon,standard,n,n
36518423,From descendants,Gastrointestinal stromal tumor of overlapping lesion of esophagus,Condition,ICDO3,standard,n,n
36519119,From descendants,Malignant histiocytosis of middle third of esophagus,Condition,ICDO3,standard,n,n
36520156,From descendants,"Small cell carcinoma, NOS, of esophagus, NOS",Condition,ICDO3,standard,n,n
36520957,From descendants,"Small cell carcinoma, NOS, of overlapping lesion of esophagus",Condition,ICDO3,standard,n,n
36527830,From descendants,Malignant mastocytosis of thoracic esophagus,Condition,ICDO3,standard,n,n
36530288,From descendants,Gastrointestinal stromal tumor of thoracic esophagus,Condition,ICDO3,standard,n,n
36531196,From descendants,"Small cell carcinoma, fusiform cell of overlapping lesion of esophagus",Condition,ICDO3,standard,n,n
36537104,From descendants,Malignant histiocytosis of overlapping lesion of esophagus,Condition,ICDO3,standard,n,n
36540599,From descendants,Malignant mastocytosis of lower third of esophagus,Condition,ICDO3,standard,n,n
36543369,From descendants,Malignant histiocytosis of lower third of esophagus,Condition,ICDO3,standard,n,n
36549905,From descendants,Malignant mastocytosis of overlapping lesion of esophagus,Condition,ICDO3,standard,n,n
36550203,From descendants,Malignant histiocytosis of thoracic esophagus,Condition,ICDO3,standard,n,n
36550667,From descendants,"Small cell carcinoma, fusiform cell of esophagus, NOS",Condition,ICDO3,standard,n,n
36552147,From descendants,"Malignant histiocytosis of esophagus, NOS",Condition,ICDO3,standard,n,n
36559701,From descendants,Malignant mastocytosis of middle third of esophagus,Condition,ICDO3,standard,n,n
36565345,From descendants,"Malignant mastocytosis of esophagus, NOS",Condition,ICDO3,standard,n,n
44499462,From descendants,Gastrointestinal stromal tumor of middle third of esophagus,Condition,ICDO3,standard,n,n
44499526,From descendants,"Gastrointestinal stromal tumor of esophagus, NOS",Condition,ICDO3,standard,n,n
