concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
36551290,From initial search,"Solitary fibrous tumor, malignant of kidney, NOS",Condition,ICDO3,standard,n,n
37017321,From initial search,Malignant carcinoid tumor of kidney,Condition,SNOMED,standard,n,n
42512204,From initial search,"Malignant peripheral nerve sheath tumor, NOS, of kidney, NOS",Condition,ICDO3,standard,n,n
609274,From initial search,Renal granular cell carcinoma,Condition,SNOMED,standard,n,n
36541223,From initial search,"Glassy cell carcinoma of adrenal gland, NOS",Condition,ICDO3,standard,n,n
36545579,From initial search,Granular cell carcinoma of medulla of adrenal gland,Condition,ICDO3,standard,n,n
36560797,From initial search,"Large cell carcinoma, NOS, of medulla of adrenal gland",Condition,ICDO3,standard,n,n
36562818,From initial search,Basal cell adenocarcinoma of medulla of adrenal gland,Condition,ICDO3,standard,n,n
36531181,From initial search,"Mixed cell adenocarcinoma of adrenal gland, NOS",Condition,ICDO3,standard,n,n
36532386,From initial search,"Large cell carcinoma, NOS, of adrenal gland, NOS",Condition,ICDO3,standard,n,n
36533550,From initial search,Mixed cell adenocarcinoma of renal pelvis,Condition,ICDO3,standard,n,n
42512121,From initial search,"Small cell carcinoma, NOS, of adrenal gland, NOS",Condition,ICDO3,standard,n,n
42512619,From initial search,"Merkel cell carcinoma of adrenal gland, NOS",Condition,ICDO3,standard,n,n
36548986,From initial search,"Clear cell adenocarcinoma, NOS, of medulla of adrenal gland",Condition,ICDO3,standard,n,n
44501347,From initial search,"Clear cell adenocarcinoma, NOS, of adrenal gland, NOS",Condition,ICDO3,standard,n,n
44501562,From initial search,"Squamous cell carcinoma, NOS, of adrenal gland, NOS",Condition,ICDO3,standard,n,n
44501928,From initial search,"Small cell carcinoma, NOS, of renal pelvis",Condition,ICDO3,standard,n,n
36557110,From initial search,"Squamous cell carcinoma, adenoid of renal pelvis",Condition,ICDO3,standard,n,n
36535758,From initial search,Mixed cell adenocarcinoma of medulla of adrenal gland,Condition,ICDO3,standard,n,n
36536992,From initial search,"Granular cell carcinoma of adrenal gland, NOS",Condition,ICDO3,standard,n,n
36537413,From initial search,Granular cell carcinoma of renal pelvis,Condition,ICDO3,standard,n,n
36538968,From initial search,"Small cell carcinoma, fusiform cell of renal pelvis",Condition,ICDO3,standard,n,n
36539156,From initial search,Glassy cell carcinoma of medulla of adrenal gland,Condition,ICDO3,standard,n,n
606920,From descendants,Malignant cystic nephroma,Condition,SNOMED,standard,n,n
4126118,From descendants,Leukemic infiltrate of kidney,Condition,SNOMED,standard,n,n
36518586,From descendants,"Neuroepithelioma, NOS, of kidney, NOS",Condition,ICDO3,standard,n,n
36523471,From descendants,"Medulloepithelioma, NOS, of renal pelvis",Condition,ICDO3,standard,n,n
