concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,liver,prev
44500887,From initial search,"Solitary fibrous tumor, malignant of liver",Condition,ICDO3,standard,n,n
36403030,From descendants,"Bile duct adenocarcinoma in situ (C22.1, C24.0) of intrahepatic bile duct",Condition,ICDO3,standard,n,n
36525687,From descendants,"Rhabdoid tumor, NOS, of intrahepatic bile duct",Condition,ICDO3,standard,n,n
36529303,From descendants,Malignant histiocytosis of intrahepatic bile duct,Condition,ICDO3,standard,n,n
36539632,From descendants,Malignant mastocytosis of liver,Condition,ICDO3,standard,n,n
36543050,From descendants,"Hemangioendothelioma, malignant of intrahepatic bile duct",Condition,ICDO3,standard,n,n
36555001,From descendants,Malignant mastocytosis of intrahepatic bile duct,Condition,ICDO3,standard,n,n
36555089,From descendants,Malignant histiocytosis of liver,Condition,ICDO3,standard,n,n
37311916,From descendants,Mesothelial carcinoma of liver,Condition,SNOMED,standard,n,n
42511777,From descendants,"Epithelioid mesothelioma, malignant of liver",Condition,ICDO3,standard,n,n
42511946,From descendants,"Mesothelioma, malignant of liver",Condition,ICDO3,standard,n,n
42512422,From descendants,Malignant fibrous histiocytoma of liver,Condition,ICDO3,standard,n,n
44500317,From descendants,"Hemangiopericytoma, malignant of liver",Condition,ICDO3,standard,n,n
44500382,From descendants,"Hemangioendothelioma, malignant of liver",Condition,ICDO3,standard,n,n
44500894,From descendants,"Rhabdoid tumor, NOS, of liver",Condition,ICDO3,standard,n,n
44501249,From descendants,"Small cell carcinoma, NOS, of liver",Condition,ICDO3,standard,n,n
4089662,From descendants,Malignant neoplasm of interlobular bile ducts,Condition,SNOMED,standard,n,n
4089663,From descendants,Malignant neoplasm of intrahepatic canaliculi,Condition,SNOMED,standard,n,n
4094865,From descendants,Malignant neoplasm of intrahepatic gall duct,Condition,SNOMED,standard,n,n
36564402,From descendants,"Yolk sac tumor, NOS, of liver",Condition,ICDO3,standard,n,n
36566973,From descendants,"Yolk sac tumor, NOS, of intrahepatic bile duct",Condition,ICDO3,standard,n,n
44503831,From descendants,Carcinomatosis of liver,Condition,ICDO3,standard,n,n
4324202,From initial search,Family history of malignant neoplasm of liver,Observation,SNOMED,standard,n,n
201519,From initial search,Primary malignant neoplasm of liver,Condition,SNOMED,standard,y,y
4246127,From initial search,Malignant neoplasm of liver,Condition,SNOMED,standard,y,y
4095432,From initial search,Malignant neoplasm of liver and intrahepatic bile ducts,Condition,SNOMED,standard,y,y
4200888,From initial search,Local recurrence of malignant tumor of liver,Condition,SNOMED,standard,n,y
602006,From descendants,Primary adenocarcinoma of intrahepatic bile duct,Condition,SNOMED,standard,y,y
4001171,From descendants,Liver cell carcinoma,Condition,SNOMED,standard,y,y
4001664,From descendants,Intrahepatic bile duct carcinoma,Condition,SNOMED,standard,y,y
4094864,From descendants,Primary carcinoma of liver,Condition,SNOMED,standard,y,y
36517375,From descendants,Mucinous cystic neoplasm with high grade dysplasia of intrahepatic bile duct,Condition,ICDO3,standard,y,y
36517577,From descendants,Adenocarcinoma with mixed subtypes of intrahepatic bile duct,Condition,ICDO3,standard,y,y
36517780,From descendants,"Spindle cell carcinoma, NOS, of liver",Condition,ICDO3,standard,y,y
36518028,From descendants,Pleomorphic carcinoma of intrahepatic bile duct,Condition,ICDO3,standard,y,y
36518115,From descendants,Trabecular adenocarcinoma of intrahepatic bile duct,Condition,ICDO3,standard,y,y
36518171,From descendants,Superficial spreading adenocarcinoma of intrahepatic bile duct,Condition,ICDO3,standard,y,y
36521399,From descendants,Adenosquamous carcinoma of liver,Condition,ICDO3,standard,y,y
