concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
609180,From initial search,Primary malignant gastrointestinal stromal neoplasm of pancreas,Condition,SNOMED,standard,n,n
765387,From initial search,Malignant carcinoid tumor of pancreas,Condition,SNOMED,standard,n,n
4112734,From initial search,Malignant tumor of endocrine pancreas,Condition,SNOMED,standard,n,n
25486,From descendants,Primary malignant neoplasm of islets of Langerhans,Condition,SNOMED,standard,n,n
441225,From descendants,Primary malignant neoplasm of ampulla of Vater,Condition,SNOMED,standard,n,n
4110585,From descendants,Carcinoma of endocrine pancreas,Condition,SNOMED,standard,n,n
4115272,From descendants,Carcinoma of ampulla of Vater,Condition,SNOMED,standard,n,n
36403058,From descendants,"Adenocarcinoma in situ, intestinal type (C16._) of head of pancreas",Condition,ICDO3,standard,n,n
36517883,From descendants,Adenocarcinoma with cartilaginous and osseous metaplasia of islets of Langerhans,Condition,ICDO3,standard,n,n
36518101,From descendants,Adenocarcinoma with apocrine metaplasia of ampulla of Vater,Condition,ICDO3,standard,n,n
36520813,From descendants,Hepatoid adenocarcinoma of head of pancreas,Condition,ICDO3,standard,n,n
36520953,From descendants,Vipoma of body of pancreas,Condition,ICDO3,standard,n,n
36521022,From descendants,"Epithelioma, malignant of islets of Langerhans",Condition,ICDO3,standard,n,n
36521689,From descendants,Adenocarcinoid tumor of ampulla of Vater,Condition,ICDO3,standard,n,n
36521773,From descendants,"Carcinoma, undifferentiated, NOS, of islets of Langerhans",Condition,ICDO3,standard,n,n
36522281,From descendants,"Carcinoma, undifferentiated, NOS, of ampulla of Vater",Condition,ICDO3,standard,n,n
36522355,From descendants,Gastrinoma of tail of pancreas,Condition,ICDO3,standard,n,n
36522638,From descendants,Vipoma of islets of Langerhans,Condition,ICDO3,standard,n,n
36522699,From descendants,Adenocarcinoma with mixed subtypes of islets of Langerhans,Condition,ICDO3,standard,n,n
36523537,From descendants,Adenocarcinoma in tubulovillous adenoma of islets of Langerhans,Condition,ICDO3,standard,n,n
36523566,From descendants,"Solid carcinoma, NOS, of islets of Langerhans",Condition,ICDO3,standard,n,n
36523618,From descendants,Gastrinoma of body of pancreas,Condition,ICDO3,standard,n,n
36524381,From descendants,"Small cell carcinoma, fusiform cell of overlapping lesion of pancreas",Condition,ICDO3,standard,n,n
