concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,include,prev
36524210,From descendants,"Trophoblastic tumor, epithelioid of isthmus uteri",Condition,ICDO3,standard,n,n
36525050,From descendants,"Mesonephroma, malignant of isthmus uteri",Condition,ICDO3,standard,n,n
36525092,From descendants,Malignant mastocytosis of isthmus uteri,Condition,ICDO3,standard,n,n
36530061,From descendants,Malignant histiocytosis of isthmus uteri,Condition,ICDO3,standard,n,n
36546331,From descendants,Mullerian mixed tumor of isthmus uteri,Condition,ICDO3,standard,n,n
36555071,From descendants,Mesodermal mixed tumor of isthmus uteri,Condition,ICDO3,standard,n,n
36565596,From descendants,"Solitary fibrous tumor, malignant of isthmus uteri",Condition,ICDO3,standard,n,n
36565695,From descendants,Carcinofibroma of isthmus uteri,Condition,ICDO3,standard,n,n
196359,From descendants,Primary malignant neoplasm of uterine cervix,Condition,SNOMED,standard,n,n
198984,From descendants,Malignant tumor of cervix,Condition,SNOMED,standard,n,n
436358,From descendants,Primary malignant neoplasm of exocervix,Condition,SNOMED,standard,n,n
441805,From descendants,Primary malignant neoplasm of endocervix,Condition,SNOMED,standard,n,n
608062,From descendants,Peripheral neuroectodermal neoplasm of corpus uteri,Condition,SNOMED,standard,n,n
608065,From descendants,Peripheral neuroectodermal neoplasm of cervix uteri,Condition,SNOMED,standard,n,n
608066,From descendants,Malignant mixed MÃƒÂ¼llerian neoplasm of corpus uteri,Condition,SNOMED,standard,n,n
4003682,From descendants,Overlapping malignant neoplasm of uterine cervix,Condition,SNOMED,standard,n,n
4047649,From descendants,Endocervical adenocarcinoma,Condition,SNOMED,standard,n,n
4092514,From descendants,Malignant neoplasm of endocervical gland,Condition,SNOMED,standard,n,n
4092515,From descendants,"Malignant neoplasm, overlapping lesion of cervix uteri",Condition,SNOMED,standard,n,n
4095156,From descendants,Malignant neoplasm of endocervical canal,Condition,SNOMED,standard,n,n
4095158,From descendants,Malignant neoplasm of squamocolumnar junction of cervix,Condition,SNOMED,standard,n,n
4095746,From descendants,Malignant neoplasm of cervical stump,Condition,SNOMED,standard,n,n
4110872,From descendants,Adenocarcinoma of cervix,Condition,SNOMED,standard,n,n
4112314,From descendants,Carcinoma of cervix,Condition,SNOMED,standard,n,n
4116080,From descendants,Squamous cell carcinoma of cervix,Condition,SNOMED,standard,n,n
4116081,From descendants,Adenosquamous carcinoma of cervix,Condition,SNOMED,standard,n,n
4116082,From descendants,Carcinoma of cervix stage 0,Condition,SNOMED,standard,n,n
4157449,From descendants,Malignant neoplasm of endocervix,Condition,SNOMED,standard,n,n
4157450,From descendants,Carcinoma of exocervix,Condition,SNOMED,standard,n,n
4162134,From descendants,Carcinoma of endocervix,Condition,SNOMED,standard,n,n
4162876,From descendants,Malignant neoplasm of exocervix,Condition,SNOMED,standard,n,n
4201484,From descendants,Local recurrence of malignant tumor of cervix,Condition,SNOMED,standard,n,n
4216500,From descendants,Anaplasia of cervix,Condition,SNOMED,standard,n,n
4281020,From descendants,Malignant tumor involving uterine cervix by direct extension from ovary,Condition,SNOMED,standard,n,n
4281163,From descendants,Malignant tumor involving uterine corpus by direct extension from fallopian tube,Condition,SNOMED,standard,n,n
4283742,From descendants,Malignant tumor involving uterine cervix by direct extension from vagina,Condition,SNOMED,standard,n,n
4289101,From descendants,Malignant tumor involving uterine corpus by direct extension from bladder,Condition,SNOMED,standard,n,n
4289102,From descendants,Malignant tumor involving uterine corpus by direct extension from uterine cervix,Condition,SNOMED,standard,n,n
4289383,From descendants,Malignant tumor involving uterine corpus by direct extension from ovary,Condition,SNOMED,standard,n,n
4289384,From descendants,Malignant tumor involving uterine corpus by direct extension from vagina,Condition,SNOMED,standard,n,n
4289673,From descendants,Malignant tumor involving uterine cervix by direct extension from fallopian tube,Condition,SNOMED,standard,n,n
4294181,From descendants,Adenoma malignum,Condition,SNOMED,standard,n,n
4310575,From descendants,"Carcinoma of uterine cervix, invasive",Condition,SNOMED,standard,n,n
35621807,From descendants,Adenoid basal carcinoma of cervix uteri,Condition,SNOMED,standard,n,n
