"cdm_name","result_type","package_name","package_version","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","Description","Concept ID","codelist"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196048","cs","overall","Record count","overall","count","integer","477","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of vagina","196048","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Record count","overall","count","integer","14798","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","199752","cs","overall","Record count","overall","count","integer","201","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of ovary","199752","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","200675","cs","overall","Record count","overall","count","integer","624","standard_concept_name ; standard_concept_id","Neoplasm of uncertain behavior of ovary","200675","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","201801","cs","overall","Record count","overall","count","integer","115","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of fallopian tube","201801","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Record count","overall","count","integer","6761","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4003830","cs","overall","Record count","overall","count","integer","1245","standard_concept_name ; standard_concept_id","Diffuse non-Hodgkin's lymphoma","4003830","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Record count","overall","count","integer","13148","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038838","cs","overall","Record count","overall","count","integer","28180","standard_concept_name ; standard_concept_id","Non-Hodgkin's lymphoma (clinical)","4038838","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Record count","overall","count","integer","1077","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Record count","overall","count","integer","1583","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Record count","overall","count","integer","456","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147411","cs","overall","Record count","overall","count","integer","2360","standard_concept_name ; standard_concept_id","Follicular non-Hodgkin's lymphoma","4147411","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Record count","overall","count","integer","670","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4247238","cs","overall","Record count","overall","count","integer","8326","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of endometrium","4247238","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Record count","overall","count","integer","957","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","45770892","cs","overall","Record count","overall","count","integer","7660","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterus","45770892","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196048","cs","overall","Person count","overall","count","integer","92","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of vagina","196048","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","196359","cs","overall","Person count","overall","count","integer","5644","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterine cervix","196359","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","199752","cs","overall","Person count","overall","count","integer","61","standard_concept_name ; standard_concept_id","Secondary malignant neoplasm of ovary","199752","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","200675","cs","overall","Person count","overall","count","integer","230","standard_concept_name ; standard_concept_id","Neoplasm of uncertain behavior of ovary","200675","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","201801","cs","overall","Person count","overall","count","integer","37","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of fallopian tube","201801","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","434592","cs","overall","Person count","overall","count","integer","1625","standard_concept_name ; standard_concept_id","B-cell lymphoma (clinical)","434592","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4003830","cs","overall","Person count","overall","count","integer","284","standard_concept_name ; standard_concept_id","Diffuse non-Hodgkin's lymphoma","4003830","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038835","cs","overall","Person count","overall","count","integer","3854","standard_concept_name ; standard_concept_id","Hodgkin's disease (clinical)","4038835","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4038838","cs","overall","Person count","overall","count","integer","6047","standard_concept_name ; standard_concept_id","Non-Hodgkin's lymphoma (clinical)","4038838","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4094548","cs","overall","Person count","overall","count","integer","177","standard_concept_name ; standard_concept_id","Extramedullary plasmacytoma","4094548","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4134595","cs","overall","Person count","overall","count","integer","714","standard_concept_name ; standard_concept_id","Chronic disease of genitourinary system","4134595","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147164","cs","overall","Person count","overall","count","integer","155","standard_concept_name ; standard_concept_id","Malignant tumor of lymphoid hemopoietic and related tissue","4147164","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4147411","cs","overall","Person count","overall","count","integer","523","standard_concept_name ; standard_concept_id","Follicular non-Hodgkin's lymphoma","4147411","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4225982","cs","overall","Person count","overall","count","integer","163","standard_concept_name ; standard_concept_id","Mature T-cell AND/OR NK cell neoplasm","4225982","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4247238","cs","overall","Person count","overall","count","integer","2105","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of endometrium","4247238","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","4278365","cs","overall","Person count","overall","count","integer","202","standard_concept_name ; standard_concept_id","Langerhans cell histiocytosis","4278365","ovarian_cancer"
"THIN_fr","achilles_code_use","CodelistGenerator","2.2.3","by_concept","45770892","cs","overall","Person count","overall","count","integer","1835","standard_concept_name ; standard_concept_id","Primary malignant neoplasm of uterus","45770892","ovarian_cancer"
