"concept_id","found_from","concept_name","domain_id","vocabulary_id","standard_concept"
201519,"From initial search","Primary malignant neoplasm of liver","Condition","SNOMED","standard"
4095432,"From initial search","Malignant neoplasm of liver and intrahepatic bile ducts","Condition","SNOMED","standard"
4246127,"From initial search","Malignant neoplasm of liver","Condition","SNOMED","standard"
4200888,"From initial search","Local recurrence of malignant tumor of liver","Condition","SNOMED","standard"
44500887,"From initial search","Solitary fibrous tumor, malignant of liver","Condition","ICDO3","standard"
602006,"From descendants","Primary adenocarcinoma of intrahepatic bile duct","Condition","SNOMED","standard"
4001171,"From descendants","Liver cell carcinoma","Condition","SNOMED","standard"
4001664,"From descendants","Intrahepatic bile duct carcinoma","Condition","SNOMED","standard"
4094864,"From descendants","Primary carcinoma of liver","Condition","SNOMED","standard"
36403030,"From descendants","Bile duct adenocarcinoma in situ (C22.1, C24.0) of intrahepatic bile duct","Condition","ICDO3","standard"
36517375,"From descendants","Mucinous cystic neoplasm with high grade dysplasia of intrahepatic bile duct","Condition","ICDO3","standard"
36517577,"From descendants","Adenocarcinoma with mixed subtypes of intrahepatic bile duct","Condition","ICDO3","standard"
36517780,"From descendants","Spindle cell carcinoma, NOS, of liver","Condition","ICDO3","standard"
36518028,"From descendants","Pleomorphic carcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36518115,"From descendants","Trabecular adenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36518171,"From descendants","Superficial spreading adenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36521399,"From descendants","Adenosquamous carcinoma of liver","Condition","ICDO3","standard"
36525687,"From descendants","Rhabdoid tumor, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
36526026,"From descendants","Glassy cell carcinoma of liver","Condition","ICDO3","standard"
36528061,"From descendants","Myoepithelial carcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36528550,"From descendants","Carcinoma, undifferentiated, NOS, of liver","Condition","ICDO3","standard"
36529303,"From descendants","Malignant histiocytosis of intrahepatic bile duct","Condition","ICDO3","standard"
36530153,"From descendants","Pleomorphic carcinoma of liver","Condition","ICDO3","standard"
36530664,"From descendants","Polygonal cell carcinoma of liver","Condition","ICDO3","standard"
36534359,"From descendants","Carcinoma, anaplastic, NOS, of liver","Condition","ICDO3","standard"
36534861,"From descendants","Bile duct cystadenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36538413,"From descendants","Large cell carcinoma, NOS, of liver","Condition","ICDO3","standard"
36539632,"From descendants","Malignant mastocytosis of liver","Condition","ICDO3","standard"
36543050,"From descendants","Hemangioendothelioma, malignant of intrahepatic bile duct","Condition","ICDO3","standard"
36543183,"From descendants","Intraductal papillary adenocarcinoma with invasion of liver","Condition","ICDO3","standard"
36544042,"From descendants","Scirrhous adenocarcinoma of liver","Condition","ICDO3","standard"
36545311,"From descendants","Epithelioma, malignant of liver","Condition","ICDO3","standard"
36548441,"From descendants","Mucinous adenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36548976,"From descendants","Lymphoepithelial carcinoma of liver","Condition","ICDO3","standard"
36551545,"From descendants","Infiltrating duct carcinoma, NOS, of liver","Condition","ICDO3","standard"
36553572,"From descendants","Intraductal papillary adenocarcinoma with invasion of intrahepatic bile duct","Condition","ICDO3","standard"
36554673,"From descendants","Mucin-producing adenocarcinoma of liver","Condition","ICDO3","standard"
36554731,"From descendants","Basal cell adenocarcinoma of liver","Condition","ICDO3","standard"
36555001,"From descendants","Malignant mastocytosis of intrahepatic bile duct","Condition","ICDO3","standard"
36555089,"From descendants","Malignant histiocytosis of liver","Condition","ICDO3","standard"
36556399,"From descendants","Myoepithelial carcinoma of liver","Condition","ICDO3","standard"
36558079,"From descendants","Bile duct cystadenocarcinoma of liver","Condition","ICDO3","standard"
36559206,"From descendants","Scirrhous adenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36559373,"From descendants","Epithelioma, malignant of intrahepatic bile duct","Condition","ICDO3","standard"
36560799,"From descendants","Mucinous cystic neoplasm with high grade dysplasia of liver","Condition","ICDO3","standard"
36560819,"From descendants","Squamous cell carcinoma, NOS, of liver","Condition","ICDO3","standard"
36562678,"From descendants","Superficial spreading adenocarcinoma of liver","Condition","ICDO3","standard"
36563877,"From descendants","Carcinoma, anaplastic, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
36564124,"From descendants","Adenocarcinoma with mixed subtypes of liver","Condition","ICDO3","standard"
36566791,"From descendants","Mucin-producing adenocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
36567076,"From descendants","Infiltrating duct carcinoma, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
36674832,"From descendants","Undifferentiated carcinoma of liver and intrahepatic biliary tract","Condition","SNOMED","standard"
36715927,"From descendants","Primary cholangiocarcinoma of intrahepatic biliary tract","Condition","SNOMED","standard"
37311916,"From descendants","Mesothelial carcinoma of liver","Condition","SNOMED","standard"
40490929,"From descendants","Primary malignant neoplasm of intrahepatic bile duct","Condition","SNOMED","standard"
42511687,"From descendants","Adenosquamous carcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
42511777,"From descendants","Epithelioid mesothelioma, malignant of liver","Condition","ICDO3","standard"
42511946,"From descendants","Mesothelioma, malignant of liver","Condition","ICDO3","standard"
42512422,"From descendants","Malignant fibrous histiocytoma of liver","Condition","ICDO3","standard"
42512483,"From descendants","Acinar cell carcinoma of liver","Condition","ICDO3","standard"
44498958,"From descendants","Papillary cystadenocarcinoma, NOS, of liver","Condition","ICDO3","standard"
44499881,"From descendants","Adenocarcinoma, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
44500029,"From descendants","Clear cell adenocarcinoma, NOS, of liver","Condition","ICDO3","standard"
44500317,"From descendants","Hemangiopericytoma, malignant of liver","Condition","ICDO3","standard"
44500382,"From descendants","Hemangioendothelioma, malignant of liver","Condition","ICDO3","standard"
44500894,"From descendants","Rhabdoid tumor, NOS, of liver","Condition","ICDO3","standard"
44501249,"From descendants","Small cell carcinoma, NOS, of liver","Condition","ICDO3","standard"
44501569,"From descendants","Adenocarcinoma, NOS, of liver","Condition","ICDO3","standard"
44501715,"From descendants","Cholangiocarcinoma of liver","Condition","ICDO3","standard"
44502225,"From descendants","Perihilar cholangiocarcinoma of intrahepatic bile duct","Condition","ICDO3","standard"
44502340,"From descendants","Mucinous adenocarcinoma of liver","Condition","ICDO3","standard"
44502616,"From descendants","Trabecular adenocarcinoma of liver","Condition","ICDO3","standard"
44502704,"From descendants","Papillary adenocarcinoma, NOS, of liver","Condition","ICDO3","standard"
44503830,"From descendants","Carcinoma, NOS, of liver","Condition","ICDO3","standard"
44503846,"From descendants","Carcinoma, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
4089662,"From descendants","Malignant neoplasm of interlobular bile ducts","Condition","SNOMED","standard"
4089663,"From descendants","Malignant neoplasm of intrahepatic canaliculi","Condition","SNOMED","standard"
4094865,"From descendants","Malignant neoplasm of intrahepatic gall duct","Condition","SNOMED","standard"
4252535,"From descendants","Adenocarcinoma of liver","Condition","SNOMED","standard"
36564402,"From descendants","Yolk sac tumor, NOS, of liver","Condition","ICDO3","standard"
36566973,"From descendants","Yolk sac tumor, NOS, of intrahepatic bile duct","Condition","ICDO3","standard"
37204022,"From descendants","Adenocarcinoma of liver and intrahepatic biliary tract","Condition","SNOMED","standard"
44502053,"From descendants","Choriocarcinoma, NOS, of liver","Condition","ICDO3","standard"
44503831,"From descendants","Carcinomatosis of liver","Condition","ICDO3","standard"
602969,"From initial search","Histologic grade of primary malignant neoplasm of liver","Observation","SNOMED","standard"
3169535,"From initial search","Histologic type of primary malignant neoplasm of liver","Observation","Nebraska Lexicon","standard"
4324202,"From initial search","Family history of malignant neoplasm of liver","Observation","SNOMED","standard"
607724,"From initial search","Anatomic location directly invaded by primary malignant neoplasm of liver","Observation","SNOMED","standard"
607726,"From initial search","Presence of direct invasion by primary malignant neoplasm of liver to nerve","Observation","SNOMED","standard"
619812,"From initial search","Histologic type of primary malignant neoplasm of liver","Observation","SNOMED","standard"
607051,"From descendants","Histologic grade of primary malignant neoplasm of intrahepatic bile duct","Observation","SNOMED","standard"
607725,"From descendants","Anatomic location directly invaded by primary malignant neoplasm of intrahepatic bile duct","Observation","SNOMED","standard"
607728,"From descendants","Presence of direct invasion by primary malignant neoplasm of intrahepatic bile duct to nerve","Observation","SNOMED","standard"
602965,"From descendants","Histologic type of primary malignant neoplasm of intrahepatic bile duct","Observation","SNOMED","standard"
